shift_app,shift_dis,chi2_sm_total,chi2_geo_total,delta_total,pos_channels,lock_ok,delta_T2K_app_FHC,delta_T2K_app_RHC,delta_T2K_dis_FHC,delta_T2K_dis_RHC
1,10,11297.792874187835,11297.061467523097,0.7314066647377331,4,True,0.40855707238051764,0.22002846084706107,0.057377177166017646,0.045443954344591475
1,11,11299.74055084935,11299.022364052646,0.7181867967046855,4,True,0.40855707238051764,0.22002846084706107,0.04959775226689089,0.04000351121112544
1,12,11379.447960856638,11378.745279169812,0.7026816868255992,4,True,0.40855707238051764,0.22002846084706107,0.03997173667357856,0.03412441692489665
4,8,11449.155246855069,11448.394273049718,0.760973805350659,4,True,0.23041497683607304,0.4227872528182388,0.059050432704680134,0.04872114299405439
4,9,11831.048038173025,11830.287976991465,0.7600611815596494,4,True,0.23041497683607304,0.4227872528182388,0.056391267498838715,0.05046768440524829
4,10,12178.665885044049,12177.909861682885,0.7560233611638978,4,True,0.23041497683607304,0.4227872528182388,0.057377177166017646,0.045443954344591475
4,11,12180.613561705566,12179.870758212433,0.7428034931326692,4,True,0.23041497683607304,0.4227872528182388,0.04959775226689089,0.04000351121112544
4,12,12260.320971712854,12259.593673329602,0.7272983832517639,4,True,0.23041497683607304,0.4227872528182388,0.03997173667357856,0.03412441692489665
0,-2,1454.5436878593034,1453.6891664006992,0.8545214586042675,2,False,0.6527932640918692,0.2591903961456907,-0.03585742703194228,-0.021604774601421184
0,-3,1608.8395233149872,1608.007547329727,0.8319759852602147,2,False,0.6527932640918692,0.2591903961456907,-0.03356825135801955,-0.046439423619233366
0,-4,1734.7329553955494,1733.9143435344554,0.8186118610940412,2,False,0.6527932640918692,0.2591903961456907,-0.05596348439416943,-0.03740831474959805
-1,0,1999.5036039176327,1999.4481289370501,0.05547498058263045,2,False,0.15319023936513076,-0.08528320298603376,-0.027561886172904337,0.015129830376530151
-2,0,2512.5766058437466,2512.401581813579,0.17502403016760582,2,False,0.4500657296164263,-0.26260964365224027,-0.027561886172904337,0.015129830376530151
0,-5,2820.558185554367,2819.74258760646,0.8155979479070083,2,False,0.6527932640918692,0.2591903961456907,-0.04857665789904786,-0.04780905443141137
