holdout_run,window,setting,P_pp,P_p0,P_0p,P_A_plus,P_B_plus,emp_pp,emp_p0,emp_0p,abs_err_pp,abs_err_p0,abs_err_0p,bounds_ok,accounting_ok
02_54,slots4-8,00,0.00016806394804547153,6.934357575083538e-05,8.257357259366938e-05,0.00023740752379630692,0.0002506375206391409,0.000130634714275588,6.538608124721299e-05,7.483073742736598e-05,3.7429233769883534e-05,3.957494503622393e-06,7.742835166303392e-06,YES,YES
02_54,slots4-8,01,0.0002289362800962369,7.859888786276858e-05,0.0006489820297714832,0.0003075351679590055,0.0008779183098677201,0.0001370654783783528,6.077616842134698e-05,0.0005250707487620023,9.187080171788411e-05,1.7822719441421605e-05,0.00012391128100948097,YES,YES
02_54,slots4-8,10,0.00016316166824004164,0.0006060974737032154,8.450673251125806e-05,0.0007692591419432571,0.0002476684007512997,0.00014082859933839235,0.00048221519419203217,6.505220655631178e-05,2.2333068901649283e-05,0.00012388227951118326,1.9454525954946283e-05,YES,YES
02_54,slots4-8,11,1.7149382803838265e-06,0.0007742815139600845,0.0008043903848470313,0.0007759964522404683,0.0008061053231274151,1.374822328764406e-06,0.0006204180363334117,0.00066313573012002,3.4011595161942046e-07,0.00015386347762667276,0.00014125465472701127,YES,YES
03_43,slot6,00,4.6604679390660486e-05,2.3179480503232597e-05,2.4779931386387233e-05,6.978415989389308e-05,7.138461077704772e-05,2.9228219349312645e-05,1.2766348681308972e-05,1.7805696844983565e-05,1.737646004134784e-05,1.0413131821923625e-05,6.974234541403668e-06,YES,YES
03_43,slot6,01,4.777107684539317e-05,2.2449098049381888e-05,0.000171723144270719,7.022017489477506e-05,0.00021949422111611216,3.0998898418664025e-05,1.3818786042055048e-05,0.00011245503992602094,1.6772178426729142e-05,8.63031200732684e-06,5.926810434469806e-05,YES,YES
03_43,slot6,10,4.653415708499864e-05,0.00016017590710803997,2.417927494779981e-05,0.0002067100641930386,7.071343203279845e-05,2.8652552277459512e-05,0.00010254401043236813,1.4606451030621472e-05,1.7881604807539127e-05,5.763189667567184e-05,9.57282391717834e-06,YES,YES
03_43,slot6,11,4.620288606149714e-07,0.00019996859523996324,0.00021124496337376897,0.00020043062410057821,0.00021170699223438394,3.361184355882797e-07,0.0001347087996852139,0.0001387795674051164,1.259104250266917e-07,6.525979555474935e-05,7.246539596865258e-05,YES,YES
03_43,slots5-7,00,0.00014088155668479097,7.862220897869587e-05,7.872556314114654e-05,0.00021950376566348684,0.0002196071198259375,8.764732954302183e-05,4.210655354536994e-05,5.225990688255134e-05,5.323422714176914e-05,3.651565543332593e-05,2.6465656258595194e-05,YES,YES
03_43,slots5-7,01,0.00014385959286000727,6.78631610460112e-05,0.000517266822911866,0.00021172275390601847,0.0006611264157718733,9.041967839950074e-05,4.041061215541503e-05,0.0003374398159188307,5.343991446050653e-05,2.745254889059617e-05,0.0001798270069930353,YES,YES
03_43,slots5-7,10,0.00014013486081720927,0.00048248967123931674,7.681733219022657e-05,0.000622624532056526,0.00021695219300743585,8.730249631345877e-05,0.0003110314866520572,4.434234622339562e-05,5.2832364503750505e-05,0.00017145818458725952,3.2474985966830954e-05,YES,YES
03_43,slots5-7,11,1.5160274345893399e-06,0.000602100842930442,0.0006360465276412652,0.0006036168703650313,0.0006375625550758546,1.1203947852942657e-06,0.00039426692494505213,0.0004194011146284868,3.956326492950741e-07,0.00020783391798538984,0.00021664541301277845,YES,YES
03_43,slots4-8,00,0.00023723403496467288,0.00016442811721772976,0.00014050048395508608,0.00040166215218240264,0.00037773451891975895,0.00014755957993337534,6.834849250139395e-05,8.402646456615934e-05,8.967445503129754e-05,9.607962471633582e-05,5.647401938892673e-05,YES,YES
03_43,slots4-8,01,0.0002404865265513978,0.00011427934148244834,0.0008687213072706701,0.00035476586803384613,0.0011092078338220679,0.00014898145276150699,6.726387476146255e-05,0.0005637317743750781,9.150507378989081e-05,4.701546672098579e-05,0.000304989532895592,YES,YES
03_43,slots4-8,10,0.00023426027668516092,0.0008103245283259675,0.00013709498438574386,0.0010445848050111284,0.0003713552610709048,0.00014890361587738412,0.0005164930740393158,7.273340193508952e-05,8.53566608077768e-05,0.00029383145428665163,6.436158245065433e-05,YES,YES
03_43,slots4-8,11,2.990246476430869e-06,0.001006362400111871,0.0010630877338769773,0.0010093526465883018,0.0010660779803534082,2.0167106135296785e-06,0.0006581198968818516,0.0007024501838866615,9.735358629011905e-07,0.0003482425032300193,0.0003606375499903158,YES,YES
