config_id,profile_scope,profile_form,L0_km,gamma_km_inv,mae_all_per_1M,mae_wide_per_1M,rmse_wide_per_1M,slot6_mae_per_1M,sign_rate,gamma_shift_mean_per_1M,dynamic_sensitive
scope=by_channel|form=tilt_quad|L0=1|gamma=1e-06,by_channel,tilt_quad,1.0,1e-06,4880.761309476447,7321.14196421466,8545.066099782922,2.231199253133198e-11,0.5555555555555556,4880.569907084526,YES
scope=by_channel|form=tilt_quad|L0=0.001|gamma=0.001,by_channel,tilt_quad,0.001,0.001,18990.567719125414,28485.85157868811,36924.8409490741,2.231199253133198e-11,0.5555555555555556,18990.376316733495,YES
scope=by_channel|form=abs_quad|L0=0.001|gamma=0.01,by_channel,abs_quad,0.001,0.01,27595.236392088693,41392.85458813303,53631.63485080651,2.231199253133198e-11,0.7777777777777778,27595.428783254203,YES
scope=by_channel|form=linear_abs_quad|L0=0.001|gamma=0.01,by_channel,linear_abs_quad,0.001,0.01,30059.10198882627,45088.65298323939,56553.35447473442,2.231199253133198e-11,0.7777777777777778,30013.50397567368,YES
scope=by_channel|form=tilt_abs_quad|L0=0.001|gamma=0.01,by_channel,tilt_abs_quad,0.001,0.01,30077.34085807474,45116.011287112095,56573.215039808216,2.231199253133198e-11,0.7777777777777778,30077.532260466643,YES
scope=by_channel|form=tilt_abs|L0=0.001|gamma=0.001,by_channel,tilt_abs,0.001,0.001,36867.58607226468,55301.37910839701,82240.80785235102,2.231199253133198e-11,0.5555555555555556,36867.39466987277,YES
scope=by_channel|form=tilt_abs_quad|L0=0.001|gamma=0.0001,by_channel,tilt_abs_quad,0.001,0.0001,58893.10355216218,88339.65532824326,103635.31406477926,2.231199253133198e-11,0.4444444444444444,58892.94852936991,YES
scope=by_channel|form=linear_abs_quad|L0=0.001|gamma=0.0001,by_channel,linear_abs_quad,0.001,0.0001,58902.6844280719,88354.02664210784,103652.38264818987,2.231199253133198e-11,0.4444444444444444,58921.979841689455,YES
scope=by_channel|form=abs_quad|L0=0.001|gamma=0.001,by_channel,abs_quad,0.001,0.001,77399.12152257045,116098.68228385567,135052.49670312266,2.231199253133198e-11,0.7777777777777778,77399.31391373595,YES
scope=by_channel|form=abs_quad|L0=0.001|gamma=0.0001,by_channel,abs_quad,0.001,0.0001,78749.77059004187,118124.65588506279,151140.6300384656,2.231199253133198e-11,0.3333333333333333,78749.59629525257,YES
scope=by_channel|form=linear_abs_quad|L0=0.001|gamma=0.001,by_channel,linear_abs_quad,0.001,0.001,86852.78177356026,130279.17266034038,141328.83731647924,2.231199253133198e-11,0.7777777777777778,86807.18376040767,YES
scope=by_channel|form=tilt_abs_quad|L0=0.001|gamma=0.001,by_channel,tilt_abs_quad,0.001,0.001,86884.35335485426,130326.53003228137,141369.83035276888,2.231199253133198e-11,0.7777777777777778,86884.54475724616,YES
scope=by_channel|form=tilt_abs|L0=0.001|gamma=0.0001,by_channel,tilt_abs,0.001,0.0001,93017.31539278921,139525.97308918383,149347.50295690075,2.231199253133198e-11,0.5555555555555556,93017.1239903973,YES
scope=by_channel|form=tilt_quad|L0=0.001|gamma=0.0001,by_channel,tilt_quad,0.001,0.0001,104173.03002294847,156259.54503442268,172361.4476753374,2.231199253133198e-11,0.5555555555555556,104172.83862055655,YES
scope=by_channel|form=tilt_abs|L0=0.001|gamma=1e-06,by_channel,tilt_abs,0.001,1e-06,123714.02699653344,185571.04049480017,206751.44234965413,2.231199253133198e-11,0.3333333333333333,123713.85358388504,YES
scope=by_channel|form=tilt_quad|L0=0.001|gamma=1e-06,by_channel,tilt_quad,0.001,1e-06,150602.23740890276,225903.35611335415,228774.77684930584,2.231199253133198e-11,0.5555555555555556,150602.04600651085,YES
scope=by_channel|form=tilt_abs_quad|L0=0.001|gamma=1e-06,by_channel,tilt_abs_quad,0.001,1e-06,156480.9245878638,234721.38688179568,266284.49927029177,2.231199253133198e-11,0.3333333333333333,156480.75117521538,YES
scope=by_channel|form=linear_abs_quad|L0=0.001|gamma=1e-06,by_channel,linear_abs_quad,0.001,1e-06,156488.45842627852,234732.68763941777,266287.80241849076,2.231199253133198e-11,0.3333333333333333,156520.01389736304,YES
scope=by_channel|form=abs_quad|L0=0.001|gamma=1e-06,by_channel,abs_quad,0.001,1e-06,193788.29466270228,290682.4419940534,301527.56553886726,2.231199253133198e-11,0.3333333333333333,193788.12036791295,YES
