channel,i,E_lo,E_hi,E_ctr,obs,pred_sm,pred_geo,bkg,P_sm,P_geo,dphi,dphi_base,dphi_breath,dphi_thread,thread_weight,thread_amp,thread_phase,breath_amp,breath_phase,k_rt,kappa_gate,eta,omega
T2K_dis_RHC,1,0.16666666666666666,0.3333333333333333,0.25,11.0,10.863157894736842,10.849156405364837,0.0,0.6848479137583299,0.6839652154786175,0.0009496450676763242,0.0009494942849872666,1.6487842758747046e-07,-1.4095738529822652e-08,1.0,0.08748811693597168,-3.0183313383705164,0.08748811693597168,-3.0183313383705164,180.0,0.0,0.0,0.010649466622338281
T2K_dis_RHC,2,0.3333333333333333,0.5,0.41666666666666663,0.0,2.0210526315789474,2.015041323743647,0.0,0.3873704414459419,0.3862182681014959,0.001182891224649456,0.0011827034076157177,2.053748834861474e-07,-1.7557849747673828e-08,1.0,0.08748811693597168,-3.0183313383705164,0.08748811693597168,-3.0183313383705164,180.0,0.0,0.0,0.010649466622338281
T2K_dis_RHC,3,0.5,0.6666666666666666,0.5833333333333333,6.0,6.189473684210527,5.637991162400214,0.0,0.000964020681534894,0.000878126373932232,0.0014161373816225882,0.001415912530244169,2.458713393848243e-07,-2.1019960965525004e-08,1.0,0.08748811693597168,-3.0183313383705164,0.08748811693597168,-3.0183313383705164,180.0,0.0,0.0,0.010649466622338281
T2K_dis_RHC,4,0.6666666666666666,0.8333333333333333,0.75,4.0,2.4000000000000004,2.3765479511280403,0.0,0.10190545157792974,0.1009096633984611,0.0016493835385957207,0.0016491216528726205,2.863677952835013e-07,-2.448207218337618e-08,1.0,0.08748811693597168,-3.0183313383705164,0.08748811693597168,-3.0183313383705164,180.0,0.0,0.0,0.010649466622338281
T2K_dis_RHC,5,0.8333333333333333,1.0,0.9166666666666666,4.0,4.1684210526315795,4.1429282651640635,0.0,0.2744837496917142,0.2728050910807372,0.001882629695568853,0.001882330775501072,3.268642511821782e-07,-2.7944183401227358e-08,1.0,0.08748811693597168,-3.0183313383705164,0.08748811693597168,-3.0183313383705164,180.0,0.0,0.0,0.010649466622338281
T2K_dis_RHC,6,1.0,1.1666666666666665,1.0833333333333333,7.0,3.9157894736842107,3.8964492040529284,0.0,0.4231691603554266,0.4210791078344934,0.002115875852541985,0.0021155398981295235,3.6736070708085517e-07,-3.140629461907854e-08,1.0,0.08748811693597168,-3.0183313383705164,0.08748811693597168,-3.0183313383705164,180.0,0.0,0.0,0.010649466622338281
T2K_dis_RHC,7,1.1666666666666665,1.3333333333333333,1.25,2.0,3.5368421052631573,3.5214356157127638,0.0,0.5378319718700767,0.5354891749886006,0.002349122009515117,0.0023487490207579746,4.0785716297953217e-07,-3.4868405836929715e-08,1.0,0.08748811693597168,-3.0183313383705164,0.08748811693597168,-3.0183313383705164,180.0,0.0,0.0,0.010649466622338281
T2K_dis_RHC,8,1.3333333333333333,1.5,1.4166666666666665,6.0,3.1578947368421053,3.1452391980084933,0.0,0.6244894149490172,0.6219867191023627,0.0025823681664882492,0.0025819581433864256,4.4835361887820906e-07,-3.8330517054780886e-08,1.0,0.08748811693597168,-3.0183313383705164,0.08748811693597168,-3.0183313383705164,180.0,0.0,0.0,0.010649466622338281
T2K_dis_RHC,9,1.5,1.6666666666666665,1.5833333333333333,4.0,2.6526315789473682,2.6426151394966593,0.0,0.6903188457536324,0.687712175089281,0.0028156143234613815,0.002815167266014877,4.88850074776886e-07,-4.179262827263207e-08,1.0,0.08748811693597168,-3.0183313383705164,0.08748811693597168,-3.0183313383705164,180.0,0.0,0.0,0.010649466622338281
T2K_dis_RHC,10,1.6666666666666665,1.8333333333333333,1.75,0.0,2.1473684210526316,2.1396138179964996,0.0,0.7409826450300081,0.738306799456721,0.003048860480434514,0.0030483763886433287,5.29346530675563e-07,-4.5254739490483246e-08,1.0,0.08748811693597168,-3.0183313383705164,0.08748811693597168,-3.0183313383705164,180.0,0.0,0.0,0.010649466622338281
