target_label,target_mz,window_ppm,setting,g_bin,g_lo,g_hi,g_center,n_total,n_good,p_success,median_success_ppm,mad_success_ppm,frac_tail3,x_occ_mean,x_occ_median,gate_occ_factor_mean,gate_occ_factor_min,gate_occ_factor_max,mean_gate_good,p_success_occ
T04,1359.68,30.0,ModeB_points,2,0.11165183066195762,0.12907862920181176,0.1203652299318847,17,17,1.0,9.348739665576987,1.5142437222370475,0.0,0.4787914365827778,0.47472739980851125,0.9521208563417223,0.9251682185738033,0.9799346824829717,0.9521208563417223,0.9521208563417223
T04,1359.68,30.0,ModeA_points,3,0.1297022487740007,0.14604668721701503,0.13787446799550784,8,8,1.0,12.97043669624998,1.2692311744692901,0.0,0.4150969699011632,0.4050344082937825,0.9584903030098837,0.938697044343776,0.9677568921593475,0.9584903030098837,0.9584903030098837
T04,1359.68,30.0,ModeB_holdout_points,3,0.1297022487740007,0.14604668721701503,0.13787446799550784,19,19,1.0,11.263355423226688,1.3722258725458119,0.0,0.4465609976602935,0.3851034218082952,0.9553439002339706,0.9365427207487558,0.9687959791449868,0.9553439002339706,0.9553439002339706
T04,1359.68,30.0,ModeB_points,3,0.1297022487740007,0.14604668721701503,0.13787446799550784,34,34,1.0,10.481590751892176,1.0008826077549715,0.0,0.4042028728994393,0.33420086117106496,0.959579712710056,0.9243609059658338,0.9800428755707412,0.959579712710056,0.959579712710056
T04,1359.68,30.0,ModeA_points,4,0.1462377570872365,0.15753367641722493,0.15188571675223073,8,8,1.0,10.380591220944362,1.1261390083257252,0.0,0.43211554711948474,0.3806940087576538,0.9567884452880515,0.939141770234118,0.9712284172882293,0.9567884452880515,0.9567884452880515
T04,1359.68,30.0,ModeB_holdout_points,4,0.1462377570872365,0.15753367641722493,0.15188571675223073,22,22,1.0,10.499236374456302,1.256745752803318,0.0,0.4316641197736395,0.3762386148050272,0.956833588022636,0.9369756437543936,0.9690340605263574,0.956833588022636,0.956833588022636
T04,1359.68,30.0,ModeB_points,4,0.1462377570872365,0.15753367641722493,0.15188571675223073,28,28,1.0,10.143117526669858,1.3350638554353704,0.0,0.45667284413865705,0.43721408759090963,0.9543327155861343,0.9370786720432012,0.9711670126089874,0.9543327155861343,0.9543327155861343
T04,1359.68,30.0,ModeA_points,5,0.15763554002288532,0.16476267201959655,0.16119910602124093,8,8,1.0,10.584945271719818,0.34259416129815534,0.0,0.3426560630899833,0.32164790845964264,0.9657343936910017,0.9499042170314045,0.9713661555537184,0.9657343936910017,0.9657343936910017
T04,1359.68,30.0,ModeB_holdout_points,5,0.15763554002288532,0.16476267201959655,0.16119910602124093,23,23,1.0,10.032573289199554,0.8857632096896335,0.0,0.4487788386788794,0.37098077987687683,0.955122116132112,0.9380884644794968,0.9873279823961446,0.955122116132112,0.955122116132112
T04,1359.68,30.0,ModeB_points,5,0.15763554002288532,0.16476267201959655,0.16119910602124093,19,19,1.0,10.635105985397749,1.2824834703278718,0.0,0.41024732413793047,0.3831081735285584,0.9589752675862069,0.9401567263609414,0.9706863604559276,0.9589752675862069,0.9589752675862069
T04,1359.68,30.0,ModeA_points,6,0.16477966949564207,0.17123021803557678,0.16800494376560943,8,8,1.0,9.346470338317996,1.874329147922504,0.0,0.4674198147826928,0.47853940854881266,0.9532580185217308,0.9403425733763265,0.9678474112236334,0.9532580185217308,0.9532580185217308
T04,1359.68,30.0,ModeB_holdout_points,6,0.16477966949564207,0.17123021803557678,0.16800494376560943,17,17,1.0,11.072480932953992,0.7686573951746993,0.0,0.3953701304687905,0.3462177916976258,0.9604629869531209,0.939268740316751,0.9693131318646231,0.9604629869531209,0.9604629869531209
T04,1359.68,30.0,ModeB_points,6,0.16477966949564207,0.17123021803557678,0.16800494376560943,20,20,1.0,9.178107391011057,2.116646588196998,0.0,0.4540369395828492,0.47967235112964823,0.9545963060417151,0.9365263719448239,0.9710088809121937,0.9545963060417151,0.9545963060417151
T04,1359.68,30.0,ModeA_points,7,0.17128527336287389,1.0,0.5856426366814369,238,238,1.0,10.901223250595251,0.8018489270699822,0.0,0.3996670461868232,0.3586006367541916,0.9600332953813177,0.9328128435160645,0.9734426653012332,0.9600332953813177,0.9600332953813177
T04,1359.68,30.0,ModeB_holdout_points,7,0.17128527336287389,1.0,0.5856426366814369,207,207,1.0,10.49866196269524,0.9178211484100434,0.0,0.43678935283212206,0.38197543960532465,0.9563210647167877,0.9336371205353875,0.9725776999717745,0.9563210647167877,0.9563210647167877
T04,1359.68,30.0,ModeB_points,7,0.17128527336287389,1.0,0.5856426366814369,171,171,1.0,9.523146088804722,1.376140016186957,0.0,0.47869025260037235,0.47753227515837243,0.9521309747399628,0.9335461317237317,0.9798447697078514,0.9521309747399628,0.9521309747399628
T05,816.22,30.0,ModeA_points,0,0.0,0.0,0.0,8,8,1.0,-7.1603938587520215,0.5721310773293,0.0,0.6133621690338293,0.6172324303158438,0.9386637830966171,0.9376157305354402,0.9417177526284827,0.9386637830966171,0.9386637830966171
T05,816.22,30.0,ModeB_holdout_points,0,0.0,0.0,0.0,25,25,1.0,-6.518827214211414,0.497559637233433,0.0,0.6105217006705391,0.6104154556820324,0.9389478299329461,0.9372542943666654,0.9403989763976458,0.9389478299329461,0.9389478299329461
T05,816.22,30.0,ModeB_points,0,0.0,0.0,0.0,21,21,1.0,-8.871752136547766,0.6950523666214412,0.0,0.6235639191011808,0.6229031996103147,0.937643608089882,0.9355954961150943,0.9390009176098238,0.937643608089882,0.937643608089882
T05,816.22,30.0,ModeA_points,1,0.0,0.0,0.0,26,26,1.0,-6.710623878828951,0.5855944935271173,0.0,0.6098673571421102,0.6111261473987322,0.9390132642857889,0.9371724469832515,0.941538807790593,0.9390132642857889,0.9390132642857889
T05,816.22,30.0,ModeB_holdout_points,1,0.0,0.0,0.0,19,19,1.0,-7.252301445082793,0.4491172982191145,0.0,0.6121353872694277,0.6137300865278931,0.9387864612730572,0.9366699875263367,0.9411891194859463,0.9387864612730572,0.9387864612730572
T05,816.22,30.0,ModeB_points,1,0.0,0.0,0.0,8,8,1.0,-8.406200414578187,0.6158617335897496,0.0,0.6186503505251437,0.6164865879959278,0.9381349649474857,0.9355450587889758,0.9396313737976,0.9381349649474857,0.9381349649474857
T05,816.22,30.0,ModeA_points,2,0.0,0.000764025406216183,0.0003820127031080915,35,35,1.0,-8.348051680292995,0.6593679729768844,0.0,0.6028401643078248,0.6083252765422987,0.9397159835692175,0.9372789651239761,0.9632334012984081,0.9397159835692175,0.9397159835692175
T05,816.22,30.0,ModeB_holdout_points,2,0.0,0.000764025406216183,0.0003820127031080915,8,8,1.0,-7.608125576873192,0.8421820303935048,0.0,0.6110701693176218,0.6117562410270176,0.9388929830682379,0.9376426806197942,0.9400413130257957,0.9388929830682379,0.9388929830682379
