target_label,target_mz,g_bin,g_center,baseline,compare,delta_p_success_occ,delta_x_occ_mean,delta_gate_occ_factor_mean
T05,816.22,3,0.001567599674502194,ModeA_points,ModeB_holdout_points,0.00020279337527939756,-0.002027933752791755,0.00020279337527939756
T05,816.22,3,0.001567599674502194,ModeA_points,ModeB_points,-1.580529404465736e-05,0.00015805294044823892,-1.580529404465736e-05
T05,816.22,4,0.0030171241746780758,ModeA_points,ModeB_holdout_points,1.1203308154517089e-06,-1.1203308154184022e-05,1.1203308154517089e-06
T05,816.22,4,0.0030171241746780758,ModeA_points,ModeB_points,-0.00017455058703519377,0.0017455058703514936,-0.00017455058703519377
T05,816.22,5,0.004622344006033681,ModeA_points,ModeB_holdout_points,-0.0008639816204392137,0.008639816204391693,-0.0008639816204392137
T05,816.22,5,0.004622344006033681,ModeA_points,ModeB_points,0.003937042599047813,-0.0393704259904778,0.003937042599047813
T05,816.22,6,0.006712370107542987,ModeA_points,ModeB_holdout_points,-0.0002828719513522371,0.002828719513523925,-0.0002828719513522371
T05,816.22,6,0.006712370107542987,ModeA_points,ModeB_points,-0.0004091380481002771,0.004091380481003437,-0.0004091380481002771
T05,816.22,7,0.5041716967526149,ModeA_points,ModeB_holdout_points,0.0009677274136771219,-0.00967727413677022,0.0009677274136771219
T05,816.22,7,0.5041716967526149,ModeA_points,ModeB_points,0.0015899520200077788,-0.015899520200077122,0.0015899520200077788
T06,874.45,0,0.00958841044401745,ModeA_points,ModeB_holdout_points,-0.0014402380671694193,0.014402380671695636,-0.0014402380671694193
T06,874.45,0,0.00958841044401745,ModeA_points,ModeB_points,-0.003547416906634737,0.035474169066348704,-0.003547416906634737
T06,874.45,1,0.05893074027870607,ModeA_points,ModeB_holdout_points,-0.0033954573292225287,0.03395457329222262,-0.0033954573292225287
T06,874.45,1,0.05893074027870607,ModeA_points,ModeB_points,0.005822468868859176,-0.05822468868859465,0.005822468868859176
T06,874.45,2,0.10787235256823138,ModeA_points,ModeB_holdout_points,-0.0012855776903840654,0.01285577690384121,-0.0012855776903840654
T06,874.45,2,0.10787235256823138,ModeA_points,ModeB_points,0.004220773644709408,-0.04220773644709308,0.004220773644709408
T06,874.45,3,0.1278500469532931,ModeA_points,ModeB_holdout_points,0.0006079466213695373,-0.006079466213694262,0.0006079466213695373
T06,874.45,3,0.1278500469532931,ModeA_points,ModeB_points,0.0023617615606530418,-0.023617615606530085,0.0023617615606530418
