galaxy,r_kpc,v_obs_kms,e_v_kms,v_gas_kms,v_disk_kms,v_bul_kms,ups_disk,ups_bulge,v_bar_kms,g_obs_mps2,g_bar_mps2,sigma_log10_gobs,env_scale
NGC3521_rotmod,4.81,216.0,23.5,19.07,272.38,0.0,0.5,0.7,193.543527662384,3.143488534892231e-10,2.5238392117040644e-10,0.09449926226598535,47.8864
NGC3521_rotmod,4.98,220.0,14.6,20.0,268.13,0.0,0.5,0.7,190.64849448658123,3.1496730443595835e-10,2.3653034878179314e-10,0.05764272214352251,47.8864
NGC3521_rotmod,5.15,218.0,12.2,20.46,264.51,0.0,0.5,0.7,188.15254887989158,2.990578542748621e-10,2.2277294071657427e-10,0.04860910714880432,47.8864
NGC3521_rotmod,5.32,213.0,23.1,20.65,260.81,0.0,0.5,0.7,185.5730329277398,2.763739014714312e-10,2.0978167752965326e-10,0.0941990848071842,47.8864
NGC3521_rotmod,5.49,215.0,21.2,20.74,257.41,0.0,0.5,0.7,183.1941637989595,2.728688937241635e-10,1.9810725387790101e-10,0.08564691177999012,47.8864
NGC3521_rotmod,5.67,216.0,18.3,21.02,254.02,0.0,0.5,0.7,180.8450181785498,2.666698386742792e-10,1.869302104821912e-10,0.07358878721138433,47.8864
NGC3521_rotmod,5.84,208.0,31.7,21.3,251.09,0.0,0.5,0.7,178.82053587326038,2.400840328399332e-10,1.7744811556896388e-10,0.132376298810895,47.8864
NGC3521_rotmod,6.01,212.0,25.3,21.67,248.27,0.0,0.5,0.7,176.88579747961677,2.4235205388483785e-10,1.6871780265938832e-10,0.10365707917124783,47.8864
NGC3521_rotmod,6.19,213.0,23.8,22.04,245.66,0.0,0.5,0.7,175.10048372291837,2.375297505376436e-10,1.6052160647846328e-10,0.09705360252861402,47.8864
NGC3521_rotmod,6.35,216.0,19.6,22.51,243.33,0.0,0.5,0.7,173.52649523919973,2.3811306854852963e-10,1.5367645019353138e-10,0.07881640597503459,47.8864
NGC3521_rotmod,6.64,210.0,25.0,23.63,238.82,0.0,0.5,0.7,170.51648923198013,2.1523850401279595e-10,1.4191037253763936e-10,0.1034034480722028,47.8864
NGC3521_rotmod,8.82,210.0,10.7,34.97,209.65,0.0,0.5,0.7,152.31369652792227,1.6203896447221824e-10,8.524301186164222e-11,0.0442566757749028,47.8864
